PC,feature,loading,type
PC4,chroma_cqt_std_2,1.2492845767192817e-05,weak
PC4,chroma_cqt_mean_2,1.885517638728778e-05,weak
PC1,chroma_cqt_median_2,-1.7787497556151212e-05,weak
PC4,chroma_cqt_kurtosis_2,-0.0002636825120411756,weak
PC3,chroma_cqt_kew_3,-0.00011675054086338395,weak
PC4,chroma_cqt_min_3,-9.813115176490067e-06,weak
PC2,chroma_cqt_max_3,-1.3905401044732593e-05,weak
PC2,chroma_cqt_std_3,-8.997719145480755e-06,weak
PC1,chroma_cqt_mean_3,-1.5250067326999917e-05,weak
PC3,chroma_cqt_median_3,1.8368411581473755e-05,weak
PC4,chroma_cqt_kurtosis_3,0.00023043004316424516,weak
PC4,chroma_cqt_kew_4,-5.865803108669764e-05,weak
PC2,chroma_cqt_min_4,9.396434493150015e-06,weak
PC4,chroma_cqt_max_4,2.553817880678214e-05,weak
PC4,chroma_cqt_std_4,1.72767801054942e-05,weak
PC4,chroma_cqt_mean_4,2.324845061319374e-05,weak
PC4,chroma_cqt_median_4,2.6598225499306285e-05,weak
PC1,chroma_cqt_kurtosis_4,8.576337265245728e-05,weak
PC4,chroma_cqt_kew_5,9.823392972292571e-05,weak
PC2,chroma_cqt_min_5,1.1430072384195438e-05,weak
PC3,chroma_cqt_max_5,-1.6206813594832043e-05,weak
PC2,chroma_cqt_std_5,-8.268487660230696e-06,weak
PC1,chroma_cqt_mean_5,-1.4130960336658008e-05,weak
PC1,chroma_cqt_median_5,-1.8712335741593753e-05,weak
PC4,chroma_cqt_kurtosis_5,0.000316538735633512,weak
PC1,chroma_cqt_kew_6,5.706618828409262e-05,weak
PC2,chroma_cqt_min_6,1.301359066559814e-05,weak
PC2,chroma_cqt_max_6,-6.843135256044752e-06,weak
PC4,chroma_cqt_std_6,8.25980137366982e-06,weak
PC1,chroma_cqt_mean_6,-1.831738635202866e-05,weak
PC1,chroma_cqt_median_6,-1.941542375608261e-05,weak
PC1,chroma_cqt_kurtosis_6,0.00017891933089226914,weak
PC1,chroma_cqt_kew_7,5.02025665376796e-05,weak
PC2,chroma_cqt_min_7,1.5092120781165518e-05,weak
PC3,chroma_cqt_max_7,-1.3071505167342333e-05,weak
PC2,chroma_cqt_std_7,-7.419849754701953e-06,weak
PC1,chroma_cqt_mean_7,-1.6265771499244394e-05,weak
PC1,chroma_cqt_median_7,-1.9513890733899302e-05,weak
PC4,chroma_cqt_kurtosis_7,0.0002464263908647159,weak
PC1,chroma_cqt_kew_8,5.42537509570766e-05,weak
PC2,chroma_cqt_min_8,1.237955105631453e-05,weak
PC3,chroma_cqt_max_8,-1.5177555740122108e-05,weak
PC2,chroma_cqt_std_8,-7.246583305474981e-06,weak
PC1,chroma_cqt_mean_8,-1.6373326332228496e-05,weak
PC1,chroma_cqt_median_8,-1.8347653017317106e-05,weak
PC4,chroma_cqt_kurtosis_8,0.00038943264887667173,weak
PC4,chroma_cqt_kew_9,-7.776158786748934e-05,weak
PC1,chroma_cqt_min_9,-1.011379929321602e-05,weak
PC3,chroma_cqt_max_9,-1.468733685916768e-05,weak
PC4,chroma_cqt_std_9,9.510838723465844e-06,weak
PC3,chroma_cqt_mean_9,-1.8267086572588064e-05,weak
PC1,chroma_cqt_median_9,-2.0071042214836012e-05,weak
PC4,chroma_cqt_kurtosis_9,-0.00020423427473521583,weak
PC1,chroma_cqt_kew_10,5.723018288393619e-05,weak
PC2,chroma_cqt_min_10,9.594296723594627e-06,weak
PC3,chroma_cqt_max_10,-2.1664262302351844e-05,weak
PC2,chroma_cqt_std_10,-5.9275574358511145e-06,weak
PC1,chroma_cqt_mean_10,-1.7141629865308396e-05,weak
PC1,chroma_cqt_median_10,-2.011578855355037e-05,weak
PC4,chroma_cqt_kurtosis_10,0.00023092329068142127,weak
PC1,chroma_cqt_kew_11,5.8213855284657055e-05,weak
PC2,chroma_cqt_min_11,1.0681255025235482e-05,weak
PC3,chroma_cqt_max_11,-2.708541667322241e-05,weak
PC2,chroma_cqt_std_11,-7.1850780268961885e-06,weak
PC3,chroma_cqt_mean_11,-1.8306559144614656e-05,weak
PC4,chroma_cqt_median_11,2.6195412108767615e-05,weak
PC3,chroma_cqt_kurtosis_11,-0.0003607537799203726,weak
PC4,chroma_cens_kew_0,6.594936961123868e-05,weak
PC1,chroma_cens_min_0,-4.65231538785957e-06,weak
PC1,chroma_cens_max_0,1.0786922048417742e-05,weak
PC1,chroma_cens_std_0,5.570143372502292e-06,weak
PC4,chroma_cens_mean_0,-5.5477643765508645e-06,weak
PC2,chroma_cens_median_0,-7.36735932886755e-06,weak
PC2,chroma_cens_kurtosis_0,9.748402553063112e-05,weak
PC4,chroma_cens_kew_1,8.270040118628277e-05,weak
PC4,chroma_cens_min_1,7.575550065713194e-06,weak
PC2,chroma_cens_max_1,-9.289612134775852e-06,weak
PC1,chroma_cens_std_1,4.690330796844962e-06,weak
PC3,chroma_cens_mean_1,8.087734038501229e-06,weak
PC3,chroma_cens_median_1,6.996599240879522e-06,weak
PC2,chroma_cens_kurtosis_1,0.00011589820642537286,weak
PC3,chroma_cens_kew_2,-7.107638367837487e-05,weak
PC1,chroma_cens_min_2,-7.626919713237722e-06,weak
PC4,chroma_cens_max_2,2.0896575569001153e-05,weak
PC1,chroma_cens_std_2,6.098996375141242e-06,weak
PC4,chroma_cens_mean_2,9.185116333081986e-06,weak
PC4,chroma_cens_median_2,5.711859408375035e-06,weak
PC4,chroma_cens_kurtosis_2,4.338146523205914e-05,weak
PC1,chroma_cens_kew_3,5.0960814709241985e-05,weak
PC1,chroma_cens_min_3,-6.495248643257067e-06,weak
PC4,chroma_cens_max_3,-1.7310195185540455e-05,weak
PC4,chroma_cens_std_3,-5.532739403571449e-06,weak
PC3,chroma_cens_mean_3,1.0612126220690048e-05,weak
PC3,chroma_cens_median_3,9.605763871328445e-06,weak
PC4,chroma_cens_kurtosis_3,0.00010791745871343565,weak
PC4,chroma_cens_kew_4,1.360991126424953e-05,weak
PC1,chroma_cens_min_4,-7.713881876143368e-06,weak
PC4,chroma_cens_max_4,3.570848318686468e-05,weak
PC4,chroma_cens_std_4,8.786100680066448e-06,weak
PC4,chroma_cens_mean_4,1.2234402248498958e-05,weak
PC4,chroma_cens_median_4,1.3139715839556057e-05,weak
PC3,chroma_cens_kurtosis_4,7.384950877093409e-05,weak
PC4,chroma_cens_kew_5,8.880003619183462e-05,weak
PC1,chroma_cens_min_5,-7.271853539124387e-06,weak
PC1,chroma_cens_max_5,1.0486851503757864e-05,weak
PC1,chroma_cens_std_5,6.439702945465095e-06,weak
PC4,chroma_cens_mean_5,-1.2739119030282073e-05,weak
PC4,chroma_cens_median_5,-1.370379521918063e-05,weak
PC4,chroma_cens_kurtosis_5,0.0002624263590912057,weak
PC4,chroma_cens_kew_6,0.00017069771830440105,weak
PC1,chroma_cens_min_6,-9.606220737852866e-06,weak
PC4,chroma_cens_max_6,1.3580505876485108e-05,weak
PC1,chroma_cens_std_6,4.536505017546629e-06,weak
PC1,chroma_cens_mean_6,-6.803902885217325e-06,weak
PC4,chroma_cens_median_6,-8.970980477977261e-06,weak
