PC,feature,loading,type
PC3,tonnetz_kew_0,-5.901778043884482e-05,weak
PC1,tonnetz_min_0,-1.4581449802146723e-05,weak
PC4,tonnetz_max_0,3.7625479641450804e-05,weak
PC1,tonnetz_std_0,6.690917045055072e-06,weak
PC4,tonnetz_mean_0,1.9019674081549316e-05,weak
PC4,tonnetz_median_0,2.1206136374486638e-05,weak
PC4,tonnetz_kurtosis_0,0.0003036033005639085,weak
PC4,tonnetz_kew_1,1.5404960835079665e-05,weak
PC4,tonnetz_min_1,-3.461257809522369e-05,weak
PC1,tonnetz_max_1,1.833278151768057e-05,weak
PC1,tonnetz_std_1,7.73760237325185e-06,weak
PC4,tonnetz_mean_1,-1.069098606800403e-05,weak
PC4,tonnetz_median_1,-6.3187268227143455e-06,weak
PC4,tonnetz_kurtosis_1,0.0006200359469072624,weak
PC4,tonnetz_kew_2,-5.574552529040285e-05,weak
PC4,tonnetz_min_2,-2.8871892733040705e-05,weak
PC3,tonnetz_max_2,-1.695724201029355e-05,weak
PC1,tonnetz_std_2,8.008423685780087e-06,weak
PC3,tonnetz_mean_2,-2.5057872174844227e-06,weak
PC3,tonnetz_median_2,-3.657604470185304e-06,weak
PC4,tonnetz_kurtosis_2,0.00047232897602750046,weak
PC3,tonnetz_kew_3,2.6084071822506746e-05,weak
PC4,tonnetz_min_3,-1.591877689673417e-05,weak
PC1,tonnetz_max_3,2.1151547090256308e-05,weak
PC1,tonnetz_std_3,8.615491252167473e-06,weak
PC3,tonnetz_mean_3,-3.4802783658080747e-06,weak
PC4,tonnetz_median_3,-5.146912687451719e-06,weak
PC2,tonnetz_kurtosis_3,-0.00020867130581960373,weak
PC1,tonnetz_kew_4,2.5575480415043794e-05,weak
PC2,tonnetz_min_4,8.259892420209659e-06,weak
PC1,tonnetz_max_4,8.237769488998237e-06,weak
PC1,tonnetz_std_4,3.7243260509137134e-06,weak
PC4,tonnetz_mean_4,2.322659003190368e-06,weak
PC4,tonnetz_median_4,2.2648054731339898e-06,weak
PC4,tonnetz_kurtosis_4,0.00043025666303519056,weak
PC4,tonnetz_kew_5,-7.748403387584595e-05,weak
PC4,tonnetz_min_5,-8.567562868810014e-06,weak
PC1,tonnetz_max_5,1.0282561937024903e-05,weak
PC1,tonnetz_std_5,3.844671585354375e-06,weak
PC4,tonnetz_mean_5,-2.205679776864883e-06,weak
PC3,tonnetz_median_5,1.2367550541938123e-06,weak
PC2,tonnetz_kurtosis_5,-0.00022711866513541436,weak
PC2,zero_crossing_rate_kew_0,-0.00020462135374164152,weak
PC1,zero_crossing_rate_min_0,-6.556559753799017e-06,weak
PC4,zero_crossing_rate_max_0,3.607198580767634e-05,weak
PC4,zero_crossing_rate_std_0,6.5853333330637265e-06,weak
PC4,zero_crossing_rate_mean_0,1.504419868231083e-05,weak
PC4,zero_crossing_rate_median_0,1.3595715397648926e-05,weak
PC3,zero_crossing_rate_kurtosis_0,-0.0002723538371137206,weak
